id;y;x;weight
MV1.101 Bus 4;11.4048;53.6419;1
MV1.101 Bus 5;11.4058;53.6424;1
MV1.101 Bus 11;11.4099;53.625;1
MV1.101 Bus 32;11.4141;53.6433;1
MV1.101 Bus 35;11.4209;53.6439;1
MV1.101 Bus 39;11.4221;53.6346;1
MV1.101 Bus 41;11.4042;53.6453;1
MV1.101 Bus 42;11.4023;53.6551;1
MV1.101 Bus 46;11.4035;53.6568;1
MV1.101 Bus 51;11.3943;53.644;1
MV1.101 Bus 54;11.3922;53.6465;1
MV1.101 Bus 56;11.3914;53.6429;1
MV1.101 Bus 57;11.3898;53.6478;1
MV1.101 Bus 59;11.3867;53.6353;1
MV1.101 Bus 68;11.381;53.6325;1
MV1.101 Bus 73;11.4179;53.6299;1
MV1.101 Bus 87;11.4174;53.6387;1
MV1.101 Bus 88;11.4162;53.6378;1
MV1.101 Bus 90;11.4233;53.6369;1
MV1.101 Bus 93;11.4206;53.6331;1
MV1.101 Bus 95;11.432;53.6339;1
MV1.101 Bus 97;11.40;53.663;1
MV1.101 Bus 98;11.382;53.661;1
MV1.101 Bus 99;11.39;53.63;1
MV1.101 Bus 101;11.42;53.66;1
MV1.101 Bus 100;11.41;53.66;1
MV1.101 Bus 102;11.43;53.66;1
MV1.101 Bus 103;11.425;53.66;1
MV1.101 Bus 104;11.415;53.66;1
MV1.101 Bus 105;11.40;53.66;1
MV1.101 Bus 1001;11.41;53.663;1
MV1.101 Bus 1011;11.42;53.663;1
MV1.101 Bus 1021;11.43;53.653;1
MV1.101 Bus 1031;11.425;53.643;1
MV1.101 Bus 1041;11.415;53.633;1
MV1.101 Bus 1051;11.40;53.624;1
MV1.101 Bus 106;11.381;53.66;1
MV1.101 Bus 1061;11.383;53.653;1
MV1.101 Bus 1062;11.387;53.6234;1
MV1.101 Bus 1063;11.389;53.653;1
MV1.101 Bus 1064;11.39;53.660;1
MV1.101 Bus 1065;11.3991;53.633;1
MV1.101 Bus 1066;11.41;53.653;1
MV1.101 Bus 1067;11.39;53.663;1
MV1.101 Bus 1068;11.385;53.653;1
MV1.101 Bus 1069;11.392;53.649;1
MV1.101 Bus 107;11.381;53.624;1
MV1.101 Bus 1071;11.381;53.63;1
MV1.101 Bus 1072;11.385;53.624;1
MV1.101 Bus 1073;11.386;53.6234;1
MV1.101 Bus 1074;11.43;53.624;1
MV1.101 Bus 1075;11.428;53.63;1
MV1.101 Bus 1076;11.425;53.6234;1
MV1.101 Bus 1077;11.432;53.625;1
MV1.101 Bus 981;11.381;53.631;1
MV1.101 Bus 681;11.383;53.6225;1
MV1.101 Bus 682;11.382;53.6425;1
MV1.101 Bus 683;11.435;53.6425;1
MV1.101 Bus 684;11.436;53.6385;1
MV1.101 Bus 685;11.435;53.6455;1
MV1.101 Bus 686;11.42;53.6525;1
