id;y;x;weight
HV1 Bus 17;11.4094;53.6410;1
HV1 Bus 18;11.4095;53.6412;1
MV1.101 Bus 4;11.4078;53.6389;1
MV1.101 Bus 5;11.4098;53.6395;1
MV1.101 Bus 6;11.4087;53.63907;1
MV1.101 Bus 7;11.4255;53.6514;1
MV1.101 Bus 11;11.4191;53.64;1
MV1.101 Bus 12;11.4186;53.639;1
MV1.101 Bus 30;11.4092;53.639218;1
MV1.101 Bus 32;11.4181;53.6381;1
MV1.101 Bus 33;11.4175;53.63812;1
MV1.101 Bus 34;11.417;53.63815;1
MV1.101 Bus 35;11.4209;53.64;1
MV1.101 Bus 36;11.4189;53.639503;1
MV1.101 Bus 37;11.4207;53.6415;1
MV1.101 Bus 38;11.4192;53.640;1
MV1.101 Bus 39;11.40921;53.63916;1
MV1.101 Bus 41;11.412;53.63893;1
MV1.101 Bus 42;11.4023;53.6551;1
MV1.101 Bus 43;11.4024;53.6563;1
MV1.101 Bus 45;11.4094;53.64;1
MV1.101 Bus 46;11.4035;53.6568;1
MV1.101 Bus 49;11.4118;53.6394428;1
MV1.101 Bus 50;11.4109;53.63914536;1
MV1.101 Bus 51;11.3943;53.644;1
MV1.101 Bus 54;11.4190922;53.64;1
MV1.101 Bus 56;11.3914;53.6429;1
MV1.101 Bus 57;11.418998;53.639;1
MV1.101 Bus 58;11.3873;53.6380;1
MV1.101 Bus 59;11.4067;53.63913;1
MV1.101 Bus 68;11.401;53.6395;1
MV1.101 Bus 69;11.3922;53.645;1
MV1.101 Bus 70;11.3916;53.646;1
MV1.101 Bus 72;11.421;53.6483;1
MV1.101 Bus 73;11.4179;53.6389;1
MV1.101 Bus 74;11.4179;53.6391;1
MV1.101 Bus 75;11.4152;53.6389;1
MV1.101 Bus 78;11.41028;53.6390475;1
MV1.101 Bus 79;11.41;53.641;1
MV1.101 Bus 83;11.419;53.64;1
MV1.101 Bus 87;11.4214;53.6393;1
MV1.101 Bus 88;11.418;53.6396;1
MV1.101 Bus 89;11.4209;53.6399;1
MV1.101 Bus 90;11.41869;53.6399;1
MV1.101 Bus 92;11.421;53.6423;1
MV1.101 Bus 93;11.4106;53.6391;1
MV1.101 Bus 94;11.4188;53.63817;1
MV1.101 Bus 95;11.419;53.6389;1
MV1.101 Bus 96;11.4271;53.6442;1
MV1.101 Bus 97;11.40;53.66;1
MV1.101 Bus 731;11.4181;53.6387;1
MV1.101 Bus 732;11.4179;53.6389;1
MV1.101 Bus 733;11.4172;53.6384;1
MV1.101 Bus 724;11.4176;53.639555;1
MV1.101 Bus 735;11.4189;53.69850;1
MV1.101 Bus 726;11.4185;53.63831;1
MV1.101 Bus 727;11.4181;53.6389;1
MV1.101 Bus 738;11.4179;53.6387;1
MV1.101 Bus 729;11.4174;53.6391;1
MV1.101 Bus 737;11.4176;53.6389;1
MV1.101 Bus 728;11.4186;53.639;1
MV1.101 Bus 725;11.4173;53.6391;1
MV1.101 Bus 736;11.4176;53.6386;1
MV1.101 Bus 741;11.418;53.6389;1
MV1.101 Bus 742;11.4182;53.6392;1
